Timestamp,Eth Src,Action
2025-04-21 19:25:23,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:23,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:24,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:29,00:00:00:00:00:16,00:00:00:00:00:13,"Temporary Block (Prediction: DDoS_TCP, Detection Count: 4)"
2025-04-21 19:25:33,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:39,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:39,00:00:00:00:00:12,00:00:00:00:00:13,"Permanent Block (Prediction: DDoS_TCP, Detection Count: 5)"
2025-04-21 19:25:43,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:43,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:48,00:00:00:00:00:16,00:00:00:00:00:13,"Permanent Block (Prediction: DDoS_TCP, Detection Count: 5)"
2025-04-21 19:25:49,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:53,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:54,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:58,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:58,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:25:59,00:00:00:00:00:16,00:00:00:00:00:13,"Permanent Block (Prediction: DDoS_TCP, Detection Count: 6)"
2025-04-21 19:26:03,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:26:08,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:26:38,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:26:43,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:26:48,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:26:53,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:27:13,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:27:18,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:27:23,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:27:28,00:00:00:00:00:12,00:00:00:00:00:13,"Permanent Block (Prediction: DDoS_TCP, Detection Count: 6)"
2025-04-21 19:53:39,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:53:40,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:53:40,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:53:45,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:53:49,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
